config,round,accuracy,f1,margin_min,margin_max,margin_mean
no_attack,1,0.9597,0.9671,-3.89,3.9,0.99
no_attack,2,0.9621,0.9693,-9.37,8.67,2.19
no_attack,3,0.964,0.9707,-10.24,8.95,3.28
no_attack,4,0.9639,0.9707,-10.01,10.91,4.21
no_attack,5,0.9646,0.9712,-10.89,11.36,4.17
no_attack,6,0.9646,0.9712,-11.13,11.93,4.44
no_attack,7,0.9649,0.9715,-11.67,12.57,4.43
no_attack,8,0.9651,0.9716,-12.2,13.22,4.58
no_attack,9,0.9653,0.9718,-12.58,13.81,4.61
no_attack,10,0.9655,0.972,-13.0,14.42,4.67
attack_c1_full,1,0.9596,0.967,-2.21,2.55,0.81
attack_c1_full,2,0.9616,0.9687,-5.23,4.32,0.94
attack_c1_full,3,0.9609,0.9681,-5.7,3.94,0.96
attack_c1_full,4,0.9597,0.9673,-7.42,6.04,0.99
attack_c1_full,5,0.9591,0.9668,-8.72,6.82,0.99
attack_c1_full,6,0.9555,0.9642,-10.31,9.07,0.99
attack_c1_full,7,0.9568,0.9652,-11.75,9.31,0.99
attack_c1_full,8,0.9544,0.9633,-13.36,11.98,1.0
attack_c1_full,9,0.9554,0.964,-14.85,11.9,0.99
attack_c1_full,10,0.9517,0.9612,-16.39,14.92,0.99
