config,round,accuracy,logloss
no_attack_err_lfr,1,0.9597,0.1196
no_attack_err_lfr,2,0.9605,0.0953
no_attack_err_lfr,3,0.9628,0.0875
no_attack_err_lfr,4,0.9642,0.0848
no_attack_err_lfr,5,0.9645,0.0826
no_attack_err_lfr,6,0.9652,0.0802
no_attack_err_lfr,7,0.9651,0.0797
no_attack_err_lfr,8,0.9654,0.0789
no_attack_err_lfr,9,0.9652,0.0787
no_attack_err_lfr,10,0.9654,0.0787
attack_err_lfr,1,0.9596,0.1664
attack_err_lfr,2,0.9606,0.1405
attack_err_lfr,3,0.2063,2.235
attack_err_lfr,4,0.1566,11.1747
attack_err_lfr,5,0.1461,11.087
attack_err_lfr,6,0.1604,11.3496
attack_err_lfr,7,0.1437,11.8499
attack_err_lfr,8,0.1416,12.0398
attack_err_lfr,9,0.1434,11.8957
attack_err_lfr,10,0.1437,11.3812
