config,round,client_id,cid,malicious,bi_accuracy,bi_logloss,err_impact,lfr_impact
no_attack_err_lfr,1,4,aff2f7bed71a43a3bc2a4fc73203c929,False,0.9597,0.1301,-2.5e-05,-0.010445
no_attack_err_lfr,1,3,454edb15a16649098b40edcc2b0a411b,False,0.9597,0.1302,-3.5e-05,-0.010554
no_attack_err_lfr,1,2,e16b8e2ff1714a3881fc8dbe78709ea9,False,0.9597,0.1297,-4e-05,-0.010104
no_attack_err_lfr,1,5,eff75e1310e747fea89da3194c933021,False,0.9597,0.1299,-3e-05,-0.010267
no_attack_err_lfr,1,1,ca3bf3257100454181085d8b281ac407,False,0.9597,0.1304,-1e-05,-0.010723
no_attack_err_lfr,2,3,454edb15a16649098b40edcc2b0a411b,False,0.9604,0.0993,-0.00015,-0.004017
no_attack_err_lfr,2,1,ca3bf3257100454181085d8b281ac407,False,0.9605,0.099,-1.5e-05,-0.003706
no_attack_err_lfr,2,5,eff75e1310e747fea89da3194c933021,False,0.9605,0.0991,-2.5e-05,-0.003749
no_attack_err_lfr,2,4,aff2f7bed71a43a3bc2a4fc73203c929,False,0.9604,0.0994,-0.00012,-0.004065
no_attack_err_lfr,2,2,e16b8e2ff1714a3881fc8dbe78709ea9,False,0.9604,0.0992,-0.000115,-0.003868
no_attack_err_lfr,3,1,ca3bf3257100454181085d8b281ac407,False,0.9626,0.0884,-0.0002,-0.000846
no_attack_err_lfr,3,2,e16b8e2ff1714a3881fc8dbe78709ea9,False,0.9626,0.0883,-0.000185,-0.000773
no_attack_err_lfr,3,4,aff2f7bed71a43a3bc2a4fc73203c929,False,0.9626,0.0885,-0.00014,-0.000977
no_attack_err_lfr,3,3,454edb15a16649098b40edcc2b0a411b,False,0.9627,0.0884,-7.5e-05,-0.000844
no_attack_err_lfr,3,5,eff75e1310e747fea89da3194c933021,False,0.9621,0.0887,-0.000615,-0.001192
