config,round,excluded_client_ids,err_flagged_idx,lfr_flagged_idx,union_size,num_clients
no_attack_no_defense,1,[],,,0,5
no_attack_no_defense,2,[],,,0,5
no_attack_no_defense,3,[],,,0,5
no_attack_no_defense,4,[],,,0,5
no_attack_no_defense,5,[],,,0,5
no_attack_no_defense,6,[],,,0,5
no_attack_no_defense,7,[],,,0,5
no_attack_no_defense,8,[],,,0,5
no_attack_no_defense,9,[],,,0,5
no_attack_no_defense,10,[],,,0,5
attack_no_defense,1,[],,,0,5
attack_no_defense,2,[],,,0,5
attack_no_defense,3,[],,,0,5
attack_no_defense,4,[],,,0,5
attack_no_defense,5,[],,,0,5
attack_no_defense,6,[],,,0,5
attack_no_defense,7,[],,,0,5
attack_no_defense,8,[],,,0,5
attack_no_defense,9,[],,,0,5
attack_no_defense,10,[],,,0,5
no_attack_err_lfr,1,"2, 1",4,2,2,5
no_attack_err_lfr,2,1,1,1,1,5
no_attack_err_lfr,3,"2, 3",3,1,2,5
no_attack_err_lfr,4,"5, 4",0,3,2,5
no_attack_err_lfr,5,3,0,0,1,5
no_attack_err_lfr,6,4,0,0,1,5
no_attack_err_lfr,7,4,2,2,1,5
no_attack_err_lfr,8,4,0,0,1,5
no_attack_err_lfr,9,4,3,3,1,5
no_attack_err_lfr,10,4,4,4,1,5
attack_err_lfr,1,1,3,3,1,5
attack_err_lfr,2,1,1,1,1,5
attack_err_lfr,3,1,1,1,1,5
attack_err_lfr,4,1,0,0,1,5
attack_err_lfr,5,1,4,4,1,5
attack_err_lfr,6,1,2,2,1,5
attack_err_lfr,7,1,3,3,1,5
attack_err_lfr,8,1,4,4,1,5
attack_err_lfr,9,1,3,3,1,5
attack_err_lfr,10,1,1,1,1,5
