config,round,client_id,cid,malicious,bi_accuracy,bi_logloss,err_impact,lfr_impact
attack_flip0.3_err_lfr,1,1,285144c7336e4e6e827c1a9989f60849,True,0.9597,0.1303,0.000285,0.005278
attack_flip0.3_err_lfr,1,3,31824d3793ac473abc4f22dc588a13bf,False,0.9594,0.1607,-6e-05,-0.025128
attack_flip0.3_err_lfr,1,5,38dbe7e5a0a3484094bc3914052df255,False,0.9594,0.1604,-1.5e-05,-0.02484
attack_flip0.3_err_lfr,1,4,e15d0ea40a3f43f6b5a35ff114096323,False,0.9593,0.1607,-0.000105,-0.025084
attack_flip0.3_err_lfr,1,2,139bc7c83ec54aa3bfc69878d0e1ad7a,False,0.9594,0.1601,-1.5e-05,-0.024515
attack_flip0.3_err_lfr,2,4,e15d0ea40a3f43f6b5a35ff114096323,False,0.9628,0.1095,-0.00028,-0.006933
attack_flip0.3_err_lfr,2,1,285144c7336e4e6e827c1a9989f60849,True,0.9626,0.0927,-0.00048,0.009851
attack_flip0.3_err_lfr,2,2,139bc7c83ec54aa3bfc69878d0e1ad7a,False,0.9628,0.1093,-0.000225,-0.006662
attack_flip0.3_err_lfr,2,3,31824d3793ac473abc4f22dc588a13bf,False,0.9631,0.1093,0.0,-0.00676
attack_flip0.3_err_lfr,2,5,38dbe7e5a0a3484094bc3914052df255,False,0.9623,0.1102,-0.000805,-0.007624
attack_flip0.3_err_lfr,3,4,e15d0ea40a3f43f6b5a35ff114096323,False,0.9631,0.1004,6.5e-05,-0.004695
attack_flip0.3_err_lfr,3,1,285144c7336e4e6e827c1a9989f60849,True,0.9637,0.0883,0.000605,0.007327
attack_flip0.3_err_lfr,3,2,139bc7c83ec54aa3bfc69878d0e1ad7a,False,0.9633,0.0998,0.00027,-0.004136
attack_flip0.3_err_lfr,3,3,31824d3793ac473abc4f22dc588a13bf,False,0.9632,0.1001,0.00018,-0.004456
attack_flip0.3_err_lfr,3,5,38dbe7e5a0a3484094bc3914052df255,False,0.9627,0.1007,-0.00041,-0.005074
attack_flip0.3_err_lfr,4,1,285144c7336e4e6e827c1a9989f60849,True,0.9638,0.0851,0.427905,6.903136
attack_flip0.3_err_lfr,4,3,31824d3793ac473abc4f22dc588a13bf,False,0.5357,6.9891,-0.00015,-0.000857
attack_flip0.3_err_lfr,4,2,139bc7c83ec54aa3bfc69878d0e1ad7a,False,0.536,6.9889,8.5e-05,-0.000722
attack_flip0.3_err_lfr,4,4,e15d0ea40a3f43f6b5a35ff114096323,False,0.5358,6.9895,-0.00013,-0.001246
attack_flip0.3_err_lfr,4,5,38dbe7e5a0a3484094bc3914052df255,False,0.5359,6.9891,0.0,-0.000919
attack_flip0.3_err_lfr,5,4,e15d0ea40a3f43f6b5a35ff114096323,False,0.9581,0.1641,-0.00011,-0.001595
attack_flip0.3_err_lfr,5,5,38dbe7e5a0a3484094bc3914052df255,False,0.958,0.1653,-0.00024,-0.002825
attack_flip0.3_err_lfr,5,3,31824d3793ac473abc4f22dc588a13bf,False,0.958,0.1638,-0.00018,-0.00128
attack_flip0.3_err_lfr,5,2,139bc7c83ec54aa3bfc69878d0e1ad7a,False,0.9584,0.164,0.00022,-0.001454
attack_flip0.3_err_lfr,5,1,285144c7336e4e6e827c1a9989f60849,True,0.9642,0.0833,0.00594,0.079245
attack_flip0.3_err_lfr,6,4,e15d0ea40a3f43f6b5a35ff114096323,False,0.4306,8.6777,-3.5e-05,-0.000623
attack_flip0.3_err_lfr,6,2,139bc7c83ec54aa3bfc69878d0e1ad7a,False,0.4308,8.6772,0.00013,-0.000124
attack_flip0.3_err_lfr,6,1,285144c7336e4e6e827c1a9989f60849,True,0.9644,0.0817,0.53375,8.595397
attack_flip0.3_err_lfr,6,3,31824d3793ac473abc4f22dc588a13bf,False,0.4306,8.6775,-4e-05,-0.000406
attack_flip0.3_err_lfr,6,5,38dbe7e5a0a3484094bc3914052df255,False,0.4301,8.679,-0.000525,-0.001878
attack_flip0.3_err_lfr,7,5,38dbe7e5a0a3484094bc3914052df255,False,0.8375,2.1281,-0.00011,-0.001891
attack_flip0.3_err_lfr,7,2,139bc7c83ec54aa3bfc69878d0e1ad7a,False,0.8379,2.1254,0.000305,0.000851
attack_flip0.3_err_lfr,7,3,31824d3793ac473abc4f22dc588a13bf,False,0.8375,2.1259,-5.5e-05,0.000271
attack_flip0.3_err_lfr,7,4,e15d0ea40a3f43f6b5a35ff114096323,False,0.8377,2.1269,0.0001,-0.000641
attack_flip0.3_err_lfr,7,1,285144c7336e4e6e827c1a9989f60849,True,0.9645,0.0811,0.12694,2.04515
attack_flip0.3_err_lfr,8,5,38dbe7e5a0a3484094bc3914052df255,False,0.9147,0.7023,-0.00052,-0.00232
attack_flip0.3_err_lfr,8,4,e15d0ea40a3f43f6b5a35ff114096323,False,0.915,0.702,-0.000225,-0.002018
attack_flip0.3_err_lfr,8,3,31824d3793ac473abc4f22dc588a13bf,False,0.915,0.7013,-0.000175,-0.001288
attack_flip0.3_err_lfr,8,1,285144c7336e4e6e827c1a9989f60849,True,0.9646,0.0803,0.04939,0.619685
attack_flip0.3_err_lfr,8,2,139bc7c83ec54aa3bfc69878d0e1ad7a,False,0.9156,0.6999,0.00044,2.6e-05
attack_flip0.3_err_lfr,9,1,285144c7336e4e6e827c1a9989f60849,True,0.9648,0.0793,0.019855,0.275868
attack_flip0.3_err_lfr,9,3,31824d3793ac473abc4f22dc588a13bf,False,0.9449,0.3551,-4e-05,5.8e-05
attack_flip0.3_err_lfr,9,2,139bc7c83ec54aa3bfc69878d0e1ad7a,False,0.9451,0.3548,0.00011,0.000404
attack_flip0.3_err_lfr,9,4,e15d0ea40a3f43f6b5a35ff114096323,False,0.9449,0.356,0.0,-0.000757
attack_flip0.3_err_lfr,9,5,38dbe7e5a0a3484094bc3914052df255,False,0.9446,0.3568,-0.00033,-0.001643
attack_flip0.3_err_lfr,10,5,38dbe7e5a0a3484094bc3914052df255,False,0.9106,0.9529,-0.000295,-0.001109
attack_flip0.3_err_lfr,10,4,e15d0ea40a3f43f6b5a35ff114096323,False,0.911,0.9519,0.00016,-7.8e-05
attack_flip0.3_err_lfr,10,1,285144c7336e4e6e827c1a9989f60849,True,0.965,0.079,0.05414,0.872852
attack_flip0.3_err_lfr,10,2,139bc7c83ec54aa3bfc69878d0e1ad7a,False,0.9111,0.9517,0.000245,0.000159
attack_flip0.3_err_lfr,10,3,31824d3793ac473abc4f22dc588a13bf,False,0.9109,0.9517,5e-05,0.000102
