config,round,participating_clients,num_clients
no_attack_no_defense,1,5,5
no_attack_no_defense,2,5,5
no_attack_no_defense,3,5,5
no_attack_no_defense,4,5,5
no_attack_no_defense,5,5,5
no_attack_no_defense,6,5,5
no_attack_no_defense,7,5,5
no_attack_no_defense,8,5,5
no_attack_no_defense,9,5,5
no_attack_no_defense,10,5,5
attack_no_defense,1,5,5
attack_no_defense,2,5,5
attack_no_defense,3,5,5
attack_no_defense,4,5,5
attack_no_defense,5,5,5
attack_no_defense,6,5,5
attack_no_defense,7,5,5
attack_no_defense,8,5,5
attack_no_defense,9,5,5
attack_no_defense,10,5,5
no_attack_err_lfr,1,5,5
no_attack_err_lfr,2,5,5
no_attack_err_lfr,3,5,5
no_attack_err_lfr,4,5,5
no_attack_err_lfr,5,5,5
no_attack_err_lfr,6,5,5
no_attack_err_lfr,7,5,5
no_attack_err_lfr,8,5,5
no_attack_err_lfr,9,5,5
no_attack_err_lfr,10,5,5
attack_err_lfr,1,5,5
attack_err_lfr,2,5,5
attack_err_lfr,3,5,5
attack_err_lfr,4,5,5
attack_err_lfr,5,5,5
attack_err_lfr,6,5,5
attack_err_lfr,7,5,5
attack_err_lfr,8,5,5
attack_err_lfr,9,5,5
attack_err_lfr,10,5,5
