config,round,accuracy,f1,margin_min,margin_max,margin_mean
no_attack_no_defense,1,0.9597,0.9671,-3.89,3.9,0.99
no_attack_no_defense,2,0.9621,0.9693,-9.37,8.67,2.19
no_attack_no_defense,3,0.964,0.9707,-10.24,8.95,3.28
no_attack_no_defense,4,0.9639,0.9707,-10.01,10.91,4.21
no_attack_no_defense,5,0.9646,0.9712,-10.89,11.36,4.17
no_attack_no_defense,6,0.9646,0.9712,-11.13,11.93,4.44
no_attack_no_defense,7,0.9649,0.9715,-11.67,12.57,4.43
no_attack_no_defense,8,0.9651,0.9716,-12.2,13.22,4.58
no_attack_no_defense,9,0.9653,0.9718,-12.58,13.81,4.61
no_attack_no_defense,10,0.9655,0.972,-13.0,14.42,4.67
attack_no_defense,1,0.9596,0.967,-2.21,2.55,0.81
attack_no_defense,2,0.9616,0.9687,-5.23,4.32,0.94
attack_no_defense,3,0.9609,0.9681,-5.7,3.94,0.96
attack_no_defense,4,0.9597,0.9673,-7.42,6.04,0.99
attack_no_defense,5,0.9591,0.9668,-8.72,6.82,0.99
attack_no_defense,6,0.9555,0.9642,-10.31,9.07,0.99
attack_no_defense,7,0.9568,0.9652,-11.75,9.31,0.99
attack_no_defense,8,0.9544,0.9633,-13.36,11.98,1.0
attack_no_defense,9,0.9554,0.964,-14.85,11.9,0.99
attack_no_defense,10,0.9517,0.9612,-16.39,14.92,0.99
no_attack_err_lfr,1,0.9597,0.9671,-2.12,2.56,0.81
no_attack_err_lfr,2,0.9605,0.9677,-6.01,4.63,1.48
no_attack_err_lfr,3,0.9629,0.9698,-7.15,6.25,2.05
no_attack_err_lfr,4,0.9638,0.9705,-8.06,7.61,2.8
no_attack_err_lfr,5,0.9645,0.9711,-8.72,9.75,3.64
no_attack_err_lfr,6,0.9652,0.9717,-8.8,10.74,4.09
no_attack_err_lfr,7,0.9653,0.9718,-8.96,11.12,4.22
no_attack_err_lfr,8,0.9655,0.972,-9.28,11.54,4.46
no_attack_err_lfr,9,0.9655,0.9719,-9.71,11.89,4.59
no_attack_err_lfr,10,0.9656,0.972,-9.98,12.2,4.6
attack_err_lfr,1,0.9597,0.9671,-3.01,3.22,0.9
attack_err_lfr,2,0.9626,0.9696,-8.27,5.75,1.67
attack_err_lfr,3,0.9635,0.9703,-9.33,7.38,2.53
attack_err_lfr,4,0.9641,0.9708,-9.81,9.19,3.54
attack_err_lfr,5,0.9646,0.9712,-10.16,10.35,4.01
attack_err_lfr,6,0.9646,0.9712,-10.32,11.09,4.27
attack_err_lfr,7,0.9649,0.9714,-10.69,11.7,4.36
attack_err_lfr,8,0.9649,0.9715,-10.67,11.96,4.43
attack_err_lfr,9,0.9653,0.9718,-10.74,12.06,4.5
attack_err_lfr,10,0.9655,0.972,-11.0,12.35,4.56
