leaf_scale_label,leaf_scale,round,accuracy,f1,margin_min,margin_max,margin_mean
1-5,0.2,1,0.9595,0.967,-1.23,1.88,0.72
1-5,0.2,2,0.9598,0.9671,-2.51,2.96,1.0
1-5,0.2,3,0.9605,0.9677,-3.62,4.01,1.32
1-5,0.2,4,0.9611,0.9682,-4.67,5.12,1.67
1-5,0.2,5,0.9627,0.9696,-5.54,6.01,2.05
1-5,0.2,6,0.963,0.9698,-6.26,6.99,2.49
1-5,0.2,7,0.9639,0.9706,-6.89,7.98,2.97
1-5,0.2,8,0.9642,0.9708,-7.15,8.92,3.37
1-5,0.2,9,0.9644,0.971,-7.3,9.34,3.57
1-5,0.2,10,0.9645,0.9711,-7.54,10.0,3.78
1-3,0.3333333333333333,1,0.9597,0.9671,-2.42,2.78,0.84
1-3,0.3333333333333333,2,0.9605,0.9678,-5.11,4.62,1.42
1-3,0.3333333333333333,3,0.9627,0.9696,-6.27,6.33,2.05
1-3,0.3333333333333333,4,0.964,0.9707,-7.2,7.81,2.86
1-3,0.3333333333333333,5,0.9644,0.971,-7.56,9.42,3.54
1-3,0.3333333333333333,6,0.965,0.9715,-7.89,10.12,3.82
1-3,0.3333333333333333,7,0.9652,0.9716,-8.24,10.94,4.1
1-3,0.3333333333333333,8,0.9653,0.9718,-8.99,11.39,4.28
1-3,0.3333333333333333,9,0.9654,0.9719,-9.06,11.73,4.39
1-3,0.3333333333333333,10,0.9655,0.9719,-9.71,12.06,4.48
1-2,0.5,1,0.9597,0.9671,-3.89,3.9,0.99
1-2,0.5,2,0.9621,0.9693,-9.37,8.67,2.19
1-2,0.5,3,0.964,0.9707,-10.24,8.95,3.28
1-2,0.5,4,0.9639,0.9707,-10.01,10.91,4.21
1-2,0.5,5,0.9646,0.9712,-10.89,11.36,4.17
1-2,0.5,6,0.9646,0.9712,-11.13,11.93,4.44
1-2,0.5,7,0.9649,0.9715,-11.67,12.57,4.43
1-2,0.5,8,0.9651,0.9716,-12.2,13.22,4.58
1-2,0.5,9,0.9653,0.9718,-12.58,13.81,4.61
1-2,0.5,10,0.9655,0.972,-13.0,14.42,4.67
1-1,1.0,1,0.9594,0.9668,-8.33,7.25,1.44
1-1,1.0,2,0.7163,0.8164,-32.64,25.75,8.77
1-1,1.0,3,0.926,0.9398,-946.86,837.09,-4.56
1-1,1.0,4,0.9175,0.9357,-1841.9,354.11,-109.7
1-1,1.0,5,0.7827,0.8478,-941.98,1792.31,156.99
1-1,1.0,6,0.9028,0.9218,-6717.13,1825.16,-1102.54
1-1,1.0,7,0.5992,0.6944,-3598.59,8158.22,1058.36
1-1,1.0,8,0.8724,0.8943,-23881.7,8288.03,-3920.14
1-1,1.0,9,0.9179,0.9328,-14247.17,8867.56,-911.71
1-1,1.0,10,0.7675,0.8442,-6278.92,14094.81,3732.36
