config,excluded_client,round,accuracy,f1,margin_min,margin_max,margin_mean
A,,1,0.9597,0.9671,-3.89,3.9,0.99
A,,2,0.9622,0.9694,-9.38,8.65,2.18
A,,3,0.9642,0.9708,-9.54,8.91,3.28
A,,4,0.9642,0.9709,-9.36,10.91,4.25
A,,5,0.9649,0.9714,-9.82,11.17,4.26
A,,6,0.9649,0.9714,-10.05,11.97,4.54
A,,7,0.9652,0.9717,-10.78,12.03,4.43
A,,8,0.9652,0.9717,-11.07,12.73,4.57
A,,9,0.9655,0.9719,-11.51,13.25,4.62
A,,10,0.9657,0.9721,-12.48,13.98,4.79
B_1,1,1,0.9597,0.9671,-3.01,3.22,0.9
B_1,1,2,0.9626,0.9696,-8.27,5.75,1.67
B_1,1,3,0.9635,0.9703,-9.33,7.38,2.53
B_1,1,4,0.9641,0.9708,-9.81,9.19,3.54
B_1,1,5,0.9646,0.9712,-10.16,10.35,4.01
B_1,1,6,0.9646,0.9712,-10.32,11.09,4.27
B_1,1,7,0.9649,0.9714,-10.69,11.7,4.36
B_1,1,8,0.9649,0.9715,-10.67,11.96,4.43
B_1,1,9,0.9653,0.9718,-10.74,12.06,4.5
B_1,1,10,0.9655,0.972,-11.0,12.35,4.56
B_2,2,1,0.9597,0.9671,-3.01,3.23,0.9
B_2,2,2,0.9626,0.9696,-8.42,6.13,1.68
B_2,2,3,0.9637,0.9705,-9.78,7.24,2.52
B_2,2,4,0.9641,0.9707,-10.53,9.19,3.51
B_2,2,5,0.9648,0.9713,-11.1,10.32,3.82
B_2,2,6,0.965,0.9715,-11.34,10.9,4.05
B_2,2,7,0.965,0.9716,-11.47,11.16,4.15
B_2,2,8,0.9653,0.9718,-11.45,11.41,4.2
B_2,2,9,0.9653,0.9718,-11.52,11.58,4.23
B_2,2,10,0.9654,0.9718,-12.28,11.91,4.28
B_3,3,1,0.9597,0.9671,-3.01,3.22,0.9
B_3,3,2,0.9624,0.9695,-8.5,5.99,1.68
B_3,3,3,0.9637,0.9704,-9.56,7.25,2.52
B_3,3,4,0.9643,0.9709,-10.36,9.16,3.52
B_3,3,5,0.9647,0.9713,-10.41,10.41,3.92
B_3,3,6,0.9651,0.9716,-10.74,11.12,4.21
B_3,3,7,0.9652,0.9717,-11.67,11.72,4.43
B_3,3,8,0.9656,0.972,-12.1,11.98,4.45
B_3,3,9,0.9659,0.9723,-12.55,12.21,4.51
B_3,3,10,0.966,0.9724,-12.71,12.35,4.53
B_4,4,1,0.9597,0.9671,-3.01,3.23,0.9
B_4,4,2,0.9626,0.9696,-8.25,6.02,1.68
B_4,4,3,0.9639,0.9706,-9.46,7.26,2.52
B_4,4,4,0.9643,0.9709,-10.37,9.24,3.58
B_4,4,5,0.9646,0.9712,-10.9,10.34,3.93
B_4,4,6,0.9648,0.9714,-11.06,10.77,4.06
B_4,4,7,0.9651,0.9716,-11.39,11.05,4.17
B_4,4,8,0.9653,0.9718,-11.51,11.36,4.27
B_4,4,9,0.9655,0.9719,-11.84,11.83,4.33
B_4,4,10,0.9656,0.972,-12.25,12.22,4.37
B_5,5,1,0.9597,0.9671,-3.01,3.24,0.9
B_5,5,2,0.9621,0.9691,-8.48,5.8,1.68
B_5,5,3,0.9635,0.9703,-9.48,7.25,2.52
B_5,5,4,0.964,0.9707,-10.5,9.36,3.59
B_5,5,5,0.9643,0.9709,-11.57,10.39,3.9
B_5,5,6,0.9645,0.9711,-12.17,11.26,4.13
B_5,5,7,0.9644,0.971,-13.05,11.49,4.25
B_5,5,8,0.9644,0.971,-13.63,11.85,4.37
B_5,5,9,0.9645,0.9711,-13.92,12.32,4.4
B_5,5,10,0.9648,0.9714,-14.11,12.65,4.45
